State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IL,17,36640,South Fork School District 14,"2,173",305,87
IL,17,36720,South Holland School District 150,"9,916","1,018",254
IL,17,36750,South Holland School District 151,"12,129","1,552",446
IL,17,36780,South Pekin School District 137,"1,543",179,23
IL,17,36840,South Wilmington Consolidated School District 74,886,77,3
IL,17,36610,Southeastern Community Unit School District 337,"2,782",487,115
IL,17,31500,Southwestern Community Unit School District 9,"8,827","1,419",147
IL,17,36900,Sparta Community Unit School District 140,"8,190","1,324",276
IL,17,36960,Spoon River Valley Community Unit School District 4,"1,998",282,37
IL,17,01419,Spring Garden Community Consolidated School District 178,"3,548",268,35
IL,17,37020,Spring Lake Community Consolidated School District 606,654,75,8
IL,17,37050,Spring Valley Community Consolidated School District 99,"6,091",693,138
IL,17,37080,Springfield School District 186,"108,207","15,763","3,295"
IL,17,37140,St. Anne Community High School District 302,"4,264",216,45
IL,17,37120,St. Anne Consolidated Community School District 256,"2,645",279,41
IL,17,37170,St. Charles Community Unit School District 303,"68,555","13,084",405
IL,17,37230,St. Elmo Community Unit School District 202,"2,648",409,61
IL,17,37320,St. George Community Consolidated School District 258,"3,934",514,41
IL,17,37380,St. Joseph Community Consolidated School District 169,"5,968",832,43
IL,17,37410,St. Joseph-Ogden Community High School District 305,"7,986",495,21
IL,17,37440,St. Libory Consolidated School District 30,842,71,3
IL,17,37470,St. Rose School District 14-15,"1,301",175,15
IL,17,37490,Stark County Community Unit School District 100,"4,335",663,99
IL,17,37590,Staunton Community Unit School District 6,"7,952","1,207",165
IL,17,37650,Steeleville Community Unit School District 138,"2,928",499,70
IL,17,37680,Steger School District 194,"14,022","1,570",367
IL,17,42310,Sterling Community Unit District 5,"20,809","3,387",537
IL,17,37800,Steward Elementary School District 220,533,58,5
IL,17,37830,Stewardson-Strasburg Community Unit District 5A,"2,473",473,46
IL,17,37980,Stockton Community Unit School District 206,"3,554",513,49
IL,17,00112,Streator Elementary School District 44,"15,058","1,725",581
IL,17,38100,Streator Township High School District 40,"16,386",860,201
IL,17,38130,Sullivan Community Unit School District 300,"7,553","1,352",151
IL,17,38190,Summersville School District 79,"2,086",229,40
IL,17,38220,Summit Hill School District 161,"23,788","2,814",104
IL,17,04050,Summit School District 104,"12,087","1,632",363
IL,17,38370,Sunnybrook School District 171,"10,740","1,105",177
IL,17,38400,Sunset Ridge School District 29,"4,184",544,27
IL,17,38460,Sycamore Community Unit School District 427,"22,123","3,960",313
IL,17,38520,Taft School District 90,"3,240",370,62
IL,17,38550,Tamaroa School District 5,781,90,12
IL,17,38700,Taylorville Community Unit School District 3,"19,016","2,445",425
IL,17,38760,Teutopolis Community Unit School District 50,"5,918","1,179",50
IL,17,38790,Thomasboro Community Consolidated School District 130,"2,171",257,67
IL,17,01382,Thompsonville Community Unit School District 174,"1,860",327,58
IL,17,38940,Thornton Fractional Township High School District 215,"57,527","3,681",830
IL,17,38910,Thornton School District 154,"2,719",282,45
IL,17,38970,Thornton Township High School District 205,"100,580","6,316","2,045"
IL,17,39120,Tolono Community Unit School District 7,"9,124","1,698",90
IL,17,39180,Tonica Community Consolidated School District 79,"1,504",165,18
IL,17,19080,Township High School District 113,"58,556","3,443",119
IL,17,30450,Township High School District 211,"232,947","12,557","1,106"
IL,17,04170,Township High School District 214,"250,082","12,562",916
IL,17,39390,Tremont Community Unit School District 702,"4,904","1,003",45
IL,17,39450,Tri-City Community Unit School District 1,"3,600",576,49
IL,17,39480,Tri-Point Community Unit School District 6-J,"2,526",403,63
IL,17,13920,Tri-Valley Community Unit School District 3,"5,027","1,150",29
IL,17,37350,Triad Community Unit School District 2,"22,809","4,292",166
IL,17,08250,Trico Community Unit School District 176,"6,105","1,075",217
IL,17,10830,Triopia Community Unit School District 27,"2,190",367,42
IL,17,39510,Troy Community Consolidated School District 30C,"38,066","4,332",292
IL,17,39600,Tuscola Community Unit School District 301,"5,910",999,101
IL,17,39780,Union Ridge School District 86,"6,453",559,65
IL,17,39660,Union School District 81,"1,424",136,10
IL,17,00321,United Community School District 304,"5,690",933,106
IL,17,39870,United Township High School District 30,"38,952","1,902",302
IL,17,39930,Unity Point Community Consolidated School District 140,"4,718",470,105
IL,17,39960,Urbana School District 116,"48,618","4,800","1,081"
IL,17,38490,V.I.T. Community Unit School District 2,"2,011",325,51
IL,17,40070,Valley View Community Unit School District 365U,"89,908","15,312","1,827"
IL,17,40080,Valmeyer Community Unit School District 3,"2,461",409,21
IL,17,40140,Vandalia Community Unit School District 203,"11,588","1,489",210
IL,17,40200,Venice Community Unit School District 3,723,101,22
IL,17,40290,Vienna High School District 133,"9,701",360,53
IL,17,40260,Vienna School District 55,"5,821",351,66
IL,17,40320,Villa Grove Community Unit School District 302,"3,972",670,84
IL,17,40410,Virginia Community Unit School District 64,"2,157",342,42
IL,17,40470,Wabash Community Unit School District 348,"10,064","1,632",226
IL,17,40530,Wallace Community Consolidated School District 195,"2,991",349,62
IL,17,40620,Waltham Community Consolidated School District 185,"2,373",292,32
IL,17,40650,Waltonville Community Unit School District 1,"2,011",319,61
IL,17,40740,Warren Community Unit School District 205,"2,544",377,48
IL,17,40800,Warren Township High School District 121,"69,096","3,927",310
IL,17,40830,Warrensburg-Latham Community Unit District 11,"6,106","1,067",81
IL,17,40890,Warsaw Community Unit School District 316,"2,404",387,43
IL,17,40980,Washington Community High School District 308,"24,168","1,383",83
IL,17,41040,Washington School District 52,"8,023","1,039",53
IL,17,41070,Waterloo Community Unit School District 5,"19,064","3,051",146
IL,17,41190,Wauconda Community Unit School District 118,"28,853","4,679",360
IL,17,41250,Waukegan Community Unit School District 60,"82,801","14,802","3,244"
IL,17,41280,Waverly Community Unit School District 6,"1,984",357,54
IL,17,41360,Wayne City Community Unit School District 100,"3,380",606,100
IL,17,39420,Wesclin Community Unit School District 3,"8,135","1,364",123
IL,17,00310,West Carroll Community Unit School District 314,"8,984","1,045",197
IL,17,00319,West Central Community Unit School District 235,"5,312",743,113
IL,17,41550,West Chicago School District 33,"28,986","3,376",499
IL,17,18480,West Harvey-Dixmoor Public School District 147,"8,962","1,096",409
IL,17,41600,West Lincoln-Broadwell Elementary School District 92,"4,550",176,17
IL,17,41700,West Northfield School District 31,"10,155","1,016",129
IL,17,00314,West Prairie Community Unit School District 103,"4,417",670,113
IL,17,41750,West Washington County Community Unit District 10,"3,820",562,60
IL,17,41790,Westchester School District 92-5,"15,534","1,378",121
IL,17,01387,Western Community Unit School District 12,"3,284",550,100
IL,17,41820,Western Springs School District 101,"10,338","1,747",48
IL,17,41980,Westmont Community Unit School District 201,"12,453","1,711",125
IL,17,10820,Westville Community Unit School District 2,"6,528","1,171",209
IL,17,42060,Wethersfield Community Unit School District 230,"3,788",546,43
IL,17,42210,Wheeling Community Consolidated School District 21,"65,583","6,253",709
IL,17,42300,Whiteside School District 115,"12,635","1,424",222
IL,17,23730,Will County School District 92,"14,510","1,638",70
IL,17,42450,Williamsfield Community Unit School District 210,"1,862",289,19
IL,17,42480,Williamsville Community Unit School District 15,"7,658","1,448",52
IL,17,42510,Willow Grove School District 46,"1,556",145,31
IL,17,42570,Willow Springs School District 108,"4,277",428,102
IL,17,42600,Wilmette School District 39,"26,192","4,163",120
IL,17,42630,Wilmington Community Unit School District 209U,"9,057","1,289",71
IL,17,42660,Winchester Community Unit School District 1,"3,507",559,85
IL,17,42690,Windsor Community Unit School District 1,"2,143",352,60
IL,17,42720,Winfield School District 34,"4,465",406,24
IL,17,42790,Winnebago Community Unit School District 323,"7,712","1,463",132
IL,17,42840,Winnetka School District 36,"12,074","2,163",53
IL,17,42900,Winthrop Harbor School District 1,"6,386",598,82
IL,17,42960,Wolf Branch School District 113,"7,721",843,57
IL,17,43020,Wood Dale School District 7,"10,252","1,004",124
IL,17,43050,Wood River-Hartford Elementary School District 15,"5,584",621,128
IL,17,43110,Woodland Community Consolidated School District 50,"50,994","5,957",475
IL,17,38070,Woodland Community Unit School District 5,"2,966",440,57
IL,17,01422,Woodlawn Unit District 209,"3,675",522,51
IL,17,17040,Woodridge School District 68,"32,608","2,973",299
IL,17,43330,Woodstock Community Unit School District 200,"38,351","6,150",585
IL,17,43380,Worth School District 127,"11,065","1,138",355
IL,17,43960,Yorkville Community Unit School District 115,"35,455","7,247",359
IL,17,43800,Zeigler-Royalton Community Unit School District 188,"3,757",547,161
IL,17,43860,Zion Elementary School District 6,"17,228","2,362",645
IL,17,43890,Zion-Benton Township High School District 126,"44,642","2,721",461
IN,18,00060,Adams Central Community Schools,"9,498","2,702",448
IN,18,00120,Alexandria Community School Corporation,"8,886","1,541",231
IN,18,00150,Anderson Community School Corporation,"71,325","10,698","2,541"
IN,18,00180,Argos Community Schools,"3,939",743,121
IN,18,00210,Attica Consolidated School Corporation,"4,630",682,96
IN,18,00270,Avon Community School Corporation,"59,710","11,359",567
IN,18,00330,Barr-Reeve Community School Corporation,"6,062","1,521",137
IN,18,00360,Bartholomew County School Corporation,"78,012","13,714","1,778"
IN,18,00390,Batesville Community School Corporation,"13,014","2,311",145
IN,18,00420,Baugo Community Schools,"9,466","1,844",176
IN,18,00450,Beech Grove City Schools,"14,210","2,519",451
IN,18,00480,Benton Community School Corporation,"11,139","2,030",228
IN,18,00570,Blackford County Schools,"11,919","1,967",344
IN,18,00600,Bloomfield School District,"6,503",962,123
IN,18,00660,Blue River Valley Schools,"7,101",647,90
IN,18,00720,Bluffton-Harrison Metropolitan School District,"8,858","1,638",246
IN,18,00750,Boone Township Metropolitan School District,"6,159","1,023",76
IN,18,00212,Borden-Henryville School Corp,"15,887","2,708",177
IN,18,00900,Bremen Public Schools,"8,983","1,840",144
IN,18,00960,Brown County County School Corporation,"15,570","2,004",254
IN,18,01020,Brownsburg Community School Corporation,"51,264","10,522",410
IN,18,01050,Brownstown Central Community School Corporation,"10,507","1,705",184
IN,18,01060,C. A. Beard Memorial School Corporation,"7,751","1,305",152
IN,18,01170,Cannelton City Schools,"1,525",267,86
IN,18,01200,Carmel Clay Schools,"104,071","19,913",498
IN,18,01290,Carroll Consolidated School Corporation,"6,784","1,138",111
IN,18,01410,Caston School Corporation,"4,385",732,104
IN,18,01440,Center Grove Community School Corporation,"52,171","10,421",543
IN,18,01560,Centerville-Abington Community Schools,"8,076","1,479",203
IN,18,01710,Central Noble Community School Corporation,"8,404","1,339",131
IN,18,02880,City of East Chicago School District,"26,422","5,222","1,878"
IN,18,01890,Clark-Pleasant Community School Corporation,"42,412","7,967",551
IN,18,01920,Clarksville Community School Corporation,"9,430","1,363",209
IN,18,00840,Clay Community Schools,"25,731","4,375",644
IN,18,02130,Clinton Central School Corporation,"5,012",939,91
IN,18,02160,Clinton Prairie School Corporation,"5,821","1,057",93
IN,18,02220,Cloverdale Community Schools,"7,471","1,144",226
IN,18,02400,Concord Community Schools,"25,835","4,992",735
IN,18,02430,Covington Community School Corporation,"5,467",856,76
IN,18,07020,Cowan Community School Corporation,"3,504",531,57
IN,18,02440,Crawford County Community School Corporation,"10,917","1,724",370
IN,18,02460,Crawfordsville Community Schools,"15,996","2,531",554
IN,18,12060,Crothersville Community Schools,"3,393",568,89
IN,18,02490,Crown Point Community School Corporation,"51,659","9,660",538
IN,18,02520,Culver Community Schools Corporation,"6,610","1,033",163
IN,18,09840,Daleville Community Schools,"3,982",645,74
IN,18,02550,Danville Community School Corporation,"15,311","2,843",143
IN,18,01590,DeKalb County Central United School District,"25,349","4,233",394
IN,18,03060,DeKalb County Eastern Community School District,"7,853","1,563",163
IN,18,02610,Decatur County Community Schools,"11,884","2,182",246
IN,18,02640,Decatur Township Metropolitan School District,"36,658","7,665","1,271"
IN,18,02660,Delaware Community School Corporation,"14,576","2,353",249
IN,18,02700,Delphi Community School Corporation,"9,734","1,558",206
IN,18,02800,Duneland School Corporation,"38,047","6,458",461
IN,18,02850,East Allen County Schools,"70,368","14,334","1,738"
IN,18,02940,East Gibson School Corporation,"6,340","1,019",128
IN,18,02970,East Noble School Corporation,"23,574","3,924",488
IN,18,09000,East Porter County School Corporation,"14,395","2,462",136
IN,18,03000,East Washington School Corporation,"9,687","1,714",275
IN,18,03030,Eastbrook Community School Corporation,"10,192","1,532",198
IN,18,03090,Eastern Greene County School District,"7,423","1,199",145
IN,18,03120,Eastern Hancock County Community School Corporation,"5,939","1,013",50
IN,18,03150,Eastern Howard School Corporation,"6,348","1,194",94
IN,18,07110,Eastern Pulaski Community School Corporation,"7,005","1,081",170
IN,18,03240,Edinburgh Community School Corporation,"4,950",817,129
IN,18,03270,Elkhart Community Schools,"78,514","14,522","3,021"
IN,18,03300,Elwood Community School Corporation,"9,912","1,555",319
IN,18,03330,Eminence Community School Corporation,"3,017",505,50
IN,18,03450,Evansville-Vanderburgh School Corporation,"179,744","28,161","5,122"
IN,18,03480,Fairfield Community Schools,"13,056","3,267",221
IN,18,03510,Fayette County School Corporation,"23,349","3,755",671
IN,18,03570,Flat Rock-Hawcreek School Corporation,"5,481","1,054",130
IN,18,03630,Fort Wayne Community Schools,"228,748","38,616","6,497"
IN,18,03660,Frankfort Community Schools,"18,347","3,646",555
IN,18,03690,Franklin Community School Corporation,"32,420","5,453",669
IN,18,03700,Franklin County Community School Corporation,"17,040","2,756",343
IN,18,03750,Franklin Township Community School Corporation,"63,968","13,240","1,054"
IN,18,12880,Frankton-Lapel Community Schools,"12,404","2,191",199
IN,18,03780,Fremont Community Schools,"6,985",983,122
IN,18,03810,Frontier School Corporation,"4,359",801,57
IN,18,03840,Garrett-Keyser-Butler Community Schools,"9,689","1,843",179
IN,18,03870,Gary Community School Corporation,"65,098","12,381","5,440"
IN,18,03930,Goshen Community Schools,"38,359","6,885",868
IN,18,03940,Greater Clark County Schools,"82,427","12,724","1,632"
IN,18,03960,Greater Jasper Consolidated Schools,"21,033","3,698",352
IN,18,03990,Greencastle Community School Corporation,"13,873","1,939",271
IN,18,04050,Greenfield-Central Community Schools,"31,587","5,020",305
IN,18,04080,Greensburg Community Schools,"14,827","2,425",350
IN,18,04110,Greenwood Community School Corporation,"25,669","4,001",379
IN,18,04170,Griffith Public Schools,"16,212","2,528",356
IN,18,04230,Hamilton Community Schools,"4,096",580,58
IN,18,04260,Hamilton Heights School Corporation,"13,944","2,368",132
IN,18,10650,Hamilton Southeastern Schools,"122,405","24,559",867
IN,18,04320,Hammond School City,"78,376","14,116","3,548"
IN,18,04350,Hanover Community School Corporation,"18,222","3,130",126
IN,18,04560,Highland School Town,"24,039","3,510",361
IN,18,04590,Hobart School City,"24,170","4,075",538
IN,18,04710,Huntington County Community School Corporation,"36,834","5,907",739
IN,18,04770,Indianapolis Public Schools,"316,530","51,552","14,309"
IN,18,04800,Jac-Cen-Del Community School Corporation,"5,080",877,108
IN,18,04980,Jay School Corporation,"20,198","3,645",700
IN,18,05190,Jennings County Schools,"27,536","4,683",708
IN,18,09120,John Glenn School Corporation,"9,260","1,728",163
IN,18,05280,Kankakee Valley School Corporation,"20,805","3,635",385
IN,18,05340,Knox Community School Corporation,"11,048","1,820",324
IN,18,05370,Kokomo-Center Township Consolidated School Corporation,"45,730","7,085","1,916"
IN,18,05580,La Porte Community School Corporation,"39,177","6,671",999
IN,18,05400,Lafayette School Corporation,"57,946","8,686","1,714"
IN,18,05450,Lake Central School Corporation,"69,137","10,949",616
IN,18,05460,Lake Ridge Schools,"10,828","1,768",504
IN,18,02910,Lake Station Community Schools,"8,686","1,459",365
IN,18,05520,Lakeland School Corporation,"15,532","2,980",321
IN,18,03720,Lanesville Community School Corporation,"4,182",690,33
IN,18,05670,Lawrence Township Metropolitan School District,"98,275","17,666","2,388"
IN,18,05700,Lawrenceburg Community School Corporation,"11,360","1,758",284
IN,18,05790,Lebanon Community School Corporation,"26,268","4,036",339
IN,18,10680,Lewis Cass Schools,"8,078","1,297",153
IN,18,05880,Liberty-Perry Community School Corporation,"5,940",916,96
IN,18,05910,Linton-Stockton School Corporation,"8,212","1,311",241
IN,18,06030,Logansport Community School Corporation,"23,353","3,964",832
IN,18,06060,Loogootee Community School Corporation,"5,730",950,123
IN,18,06090,Maconaquah School Corporation,"15,284","2,301",428
IN,18,06120,Madison Consolidated Schools,"23,363","3,347",525
IN,18,06240,Madison-Grant United School Corporation,"7,999","1,277",256
IN,18,06270,Manchester Community Schools,"9,344","1,385",194
IN,18,06390,Marion Community Schools,"34,557","5,017","2,018"
IN,18,06510,Martinsville Schools Metropolitan School District,"31,589","5,042",589
IN,18,01230,Medora Community School Corporation,"1,321",202,37
IN,18,09690,Merrillville Community School,"48,625","7,407","1,296"
IN,18,06570,Michigan City Area Schools,"48,564","7,201","1,931"
IN,18,06600,Middlebury Community Schools,"24,160","5,601",410
IN,18,06630,Milan Community Schools,"5,904",983,127
IN,18,06660,Mill Creek Community School Corporation,"10,093","1,705",113
IN,18,06840,Mishawaka School City,"30,723","5,108",944
IN,18,06870,Mississinewa Community School Corporation,"10,394","1,808",391
IN,18,06900,Mitchell Community Schools,"11,226","1,756",266
IN,18,07080,Monroe Central School Corporation,"5,344",846,137
IN,18,00630,Monroe County Community School Corporation,"121,703","13,147","1,782"
IN,18,04140,Monroe-Gregg School District,"8,590","1,461",118
IN,18,07140,Mooresville Consolidated School Corporation,"25,333","4,318",449
IN,18,07260,Mount Vernon Community School Corporation,"25,927","4,944",171
IN,18,07290,Mount Vernon Metropolitan School District,"15,438","2,584",294
IN,18,07320,Muncie Community Schools,"64,623","7,259","1,938"
IN,18,07350,Munster School Town,"23,941","4,289",202
IN,18,07380,Nettle Creek School Corporation,"6,831","1,314",205
IN,18,07410,New Albany-Floyd County Consolidated Schools,"80,714","13,649","1,616"
IN,18,07440,New Castle Community School Corporation,"22,742","3,449",630
IN,18,07470,New Durham Township Metropolitan School District,"8,051",805,89
IN,18,07560,New Prairie United School Corporation,"14,836","2,565",210
IN,18,07620,Nineveh-Hensley-Jackson United School Corporation,"11,526","2,041",138
IN,18,07650,Noblesville Schools,"67,285","12,238",590
IN,18,07680,North Adams Community Schools,"15,135","2,477",242
IN,18,00118,North Central Parke Community School Corporation,"10,594","1,726",347
IN,18,07710,North Daviess Community Schools,"9,463","2,351",208
IN,18,07770,North Gibson School Corporation,"13,722","2,292",388
IN,18,00690,North Harrison Community School Corporation,"13,457","2,286",203
IN,18,07800,North Judson-San Pierre School Corporation,"7,468","1,292",221
IN,18,07830,North Knox School Corporation,"8,583","1,419",195
IN,18,07860,North Lawrence Community Schools,"33,996","5,372",665
IN,18,07890,North Miami Community Schools,"5,709",897,92
IN,18,07900,North Montgomery Community School Corporation,"11,832","2,055",238
IN,18,07920,North Newton School Corporation,"9,184","1,369",178
IN,18,07950,North Posey County Schools Metropolitan School District,"9,625","1,566",113
IN,18,07980,North Putnam Community Schools,"10,234","1,618",154
IN,18,08010,North Spencer County School Corporation,"11,750","1,926",167
IN,18,08070,North Vermillion Community School Corporation,"4,065",663,123
IN,18,08100,North West Hendricks Schools,"10,861","2,064",102
IN,18,08130,North White School Corporation,"5,982",986,159
IN,18,08120,Northeast Dubois County School Corporation,"5,327",929,60
IN,18,08160,Northeast School Corporation,"7,995","1,208",206
IN,18,08190,Northeastern Wayne Schools,"5,759","1,161",171
IN,18,08220,Northern Wells Community Schools,"15,656","2,791",235
IN,18,08250,Northwest Allen County Schools,"45,278","9,409",285
IN,18,08310,Northwestern Consolidated School Corporation,"7,589","1,374",132
IN,18,02040,Northwestern School Corporation,"8,613","1,646",95
IN,18,08340,Oak Hill United School Corporation,"7,443","1,350",166
IN,18,08460,Oregon-Davis School Corporation,"4,202",691,92
IN,18,08490,Orleans Community Schools,"4,799",881,173
IN,18,08640,Paoli Community School Corporation,"9,247","1,598",338
IN,18,08760,Penn-Harris-Madison School Corporation,"63,932","11,795",825
IN,18,01740,Perry Central Community School Corporation,"7,203","1,026",91
IN,18,08820,Perry Township Metropolitan School District,"104,905","19,449","2,758"
IN,18,08850,Peru Community Schools,"12,859","2,059",432
IN,18,08900,Pike County School Corporation,"12,168","1,964",263
IN,18,08910,Pike Township Metropolitan School District,"77,649","13,360","2,206"
IN,18,08940,Pioneer Regional School Corporation,"4,825",835,91
IN,18,08970,Plainfield Community School Corporation,"35,295","5,872",360
IN,18,09060,Plymouth Community School Corporation,"19,550","3,463",443
IN,18,09150,Portage Township Schools,"48,382","7,855","1,026"
IN,18,09180,Porter Township School Corporation,"9,714","1,565",86
IN,18,09300,Prairie Heights Community School Corporation,"9,598","1,482",156
IN,18,01770,Randolph Central School Corporation,"9,290","1,506",318
IN,18,03180,Randolph Eastern School Corporation,"4,862",883,257
IN,18,10740,Randolph Southern School Corporation,"2,981",489,107
IN,18,09420,Rensselaer Central School Corporation,"9,904","1,648",209
IN,18,09480,Richland-Bean Blossom Community School Corporation,"18,042","2,949",284
IN,18,09510,Richmond Community School Corporation,"40,621","6,068","1,700"
IN,18,09600,Rising Sun-Ohio County Community Schools,"6,114",943,101
IN,18,04620,River Forest Community School Corporation,"7,884","1,391",360
IN,18,09630,Rochester Community School Corporation,"11,538","1,930",294
IN,18,09720,Rossville Consolidated School District,"4,896",980,75
IN,18,09750,Rush County Schools,"14,648","2,421",310
IN,18,09810,Salem Community Schools,"13,071","2,014",346
IN,18,09990,Scott County School District 1,"6,491","1,149",262
IN,18,10020,Scott County School District 2,"18,097","2,948",468
IN,18,10080,Seymour Community Schools,"31,079","5,593",636
IN,18,10110,Shakamak Schools Metropolitan School District,"4,941",821,175
IN,18,03210,Shelby Eastern Schools,"8,227","1,334",139
IN,18,10140,Shelbyville Central Schools,"24,451","4,044",738
IN,18,08280,Shenandoah School Corporation,"7,464","1,297",137
IN,18,06480,Sheridan Community Schools,"6,808","1,188",79
IN,18,10170,Shoals Community School Corporation,"4,073",628,118
IN,18,00213,Silver Creek School Corporation,"16,493","2,998",225
IN,18,10230,Smith-Green Community Schools,"7,279","1,242",84
IN,18,10260,South Adams Schools,"11,435","2,893",672
IN,18,10290,South Bend Community School Corporation,"163,498","26,372","5,238"
IN,18,02190,South Central Community School Corporation,"4,099",722,58
IN,18,00240,South Dearborn Community School Corporation,"17,100","2,718",431
IN,18,10350,South Gibson School Corporation,"12,931","2,503",140
IN,18,10360,South Harrison Community Schools,"21,831","3,558",331
IN,18,10380,South Henry School Corporation,"4,378",712,66
IN,18,10410,South Knox School Corporation,"5,933","1,089",113
IN,18,10440,South Madison Community School Corporation,"26,476","4,402",298
IN,18,10450,South Montgomery Community School Corporation,"10,445","1,910",216
IN,18,10470,South Newton School Corporation,"4,794",753,127
IN,18,10500,South Putnam Community Schools,"9,246","1,259",132
IN,18,10530,South Ripley Community School Corporation,"7,845","1,343",234
IN,18,10560,South Spencer County School Corporation,"8,217","1,309",141
IN,18,10590,South Vermillion Community School Corporation,"11,386","1,859",287
IN,18,10640,Southeast Dubois County School Corporation,"7,369","1,285",99
IN,18,10620,Southeast Fountain School Corporation,"6,885","1,108",176
IN,18,10710,Southern Hancock County Community School Corporation,"19,617","3,559",131
IN,18,10770,Southern Wells Community Schools,"3,821",764,75
IN,18,00030,Southwest Allen County Metropolitan School District,"47,055","9,606",403
IN,18,10870,Southwest Dubois County School Corporation,"9,903","1,889",202
IN,18,10900,Southwest Parke Community School Corporation,"5,055",826,159
IN,18,10860,Southwest School Corporation,"12,675","1,606",241
IN,18,10800,Southwestern Jefferson County Consolidated Schools,"9,583","1,444",169
IN,18,10830,Southwestern Shelby County Consolidated Schools,"4,429",726,83
IN,18,10920,Speedway School Town,"13,842","2,208",323
IN,18,10950,Spencer-Owen Community Schools,"17,959","2,697",447
IN,18,10980,Springs Valley Community School Corporation,"5,577",784,124
IN,18,11100,Steuben County Metropolitan School District,"18,997","2,712",338
IN,18,11190,Sunman-Dearborn Community School Corporation,"25,551","4,331",263
IN,18,11220,Switzerland County School Corporation,"10,006","1,738",363
IN,18,11250,Taylor Community School Corporation,"9,387","1,469",253
IN,18,11260,Tell City-Troy Township School Corporation,"10,455","1,650",253
IN,18,11340,Tippecanoe School Corporation,"102,175","15,615","1,301"
IN,18,11370,Tippecanoe Valley School Corporation,"11,669","2,174",248
IN,18,11400,Tipton Community School Corporation,"10,707","1,615",209
IN,18,08040,Tipton County Northern Community School Corporation,"4,654",726,55
IN,18,11430,Tri-County School Corporation,"4,234",776,92
IN,18,11460,Tri-Creek School Corporation,"22,164","3,768",290
IN,18,00107,Tri-Township Consolidated School Corporation,"3,007",506,47
IN,18,11490,Triton School Corporation,"5,716","1,134",122
IN,18,11580,Twin Lakes School Corporation,"14,722","2,359",296
IN,18,11610,Union County-College Corner Joint School District,"7,311","1,179",178
IN,18,11730,Union School Corporation,"2,770",474,103
IN,18,11700,Union Township School Corporation,"9,489","1,621",79
IN,18,11910,Union-North United School Corporation,"7,544","1,379",152
IN,18,11970,Valparaiso Community Schools,"46,693","7,083",522
IN,18,12090,Vigo County School Corporation,"106,006","15,867","3,103"
IN,18,12120,Vincennes Community School Corporation,"21,273","3,082",582
IN,18,12240,Wa-Nee Community Schools,"20,624","4,613",433
IN,18,12150,Wabash City Schools,"8,853","1,392",235
IN,18,12180,Wabash County Schools Metropolitan School District,"12,631","2,089",198
IN,18,06080,Warren County Metropolitan School District,"7,305","1,264",145
IN,18,12360,Warren Township Metropolitan School District,"67,886","13,623","2,777"
IN,18,12390,Warrick County School Corporation,"65,185","11,468",846
IN,18,12420,Warsaw Community Schools,"43,222","7,438",833
IN,18,12450,Washington Community School Corporation,"17,893","3,285",564
IN,18,12720,Washington Township Metropolitan School District,"91,082","13,520","1,818"
IN,18,05550,Wawasee Community School Corporation,"20,312","3,247",301
IN,18,12810,Wayne Township Metropolitan School District,"84,461","15,574","3,203"
IN,18,04500,Wes-Del Community Schools,"5,318",769,92
IN,18,09360,West Central School Corporation,"4,413",825,138
IN,18,12870,West Lafayette Community School Corporation,"26,487","2,681",248
IN,18,12900,West Noble School Corporation,"12,787","2,563",271
IN,18,12930,West Washington School Corporation,"5,466",994,140
IN,18,12990,Western Boone County Community School Corporation,"9,880","1,743",106
IN,18,04470,Western School Corporation,"13,496","2,570",252
IN,18,13050,Western Wayne Schools,"5,680",938,173
IN,18,13080,Westfield-Washington Schools,"51,736","10,424",314
IN,18,13110,Westview School Corporation,"21,813","5,724",441
IN,18,00008,White River Valley School District,"5,295",865,170
IN,18,13200,Whiting School City,"4,226",687,132
IN,18,13230,Whitko Community School Corporation,"10,592","1,890",194
IN,18,02280,Whitley County Consolidated Schools,"24,185","4,087",360
IN,18,07230,Yorktown Community Schools,"14,088","2,308",197
IN,18,02830,Zionsville Community Schools,"36,688","8,231",148
IA,19,03060,AGWSR Community School District,"4,357",661,72
IA,19,04080,AHSTW Community School District,"4,917",874,74
IA,19,03090,Adair-Casey Community School District,"1,972",321,56
IA,19,03150,Adel-De Soto-Minburn Community School District,"11,104","2,364",70
IA,19,03220,Akron-Westfield Community School District,"3,142",579,39
IA,19,00031,Albert City-Truesdale Community School District,"1,339",232,38
IA,19,03270,Albia Community School District,"6,815","1,134",150
IA,19,03300,Alburnett Community School District,"3,205",520,20
IA,19,00032,Alden Community School District,"1,432",209,23
IA,19,03360,Algona Community School District,"9,630","1,592",144
IA,19,03390,Allamakee Community School District,"8,425","1,370",191
IA,19,03480,Alta-Aurelia Community School District,"4,675",866,87
IA,19,03540,Ames Community School District,"62,997","5,127",410
IA,19,03570,Anamosa Community School District,"9,607","1,394",153
IA,19,03630,Andrew Community School District,"1,552",279,32
IA,19,03690,Ankeny Community School District,"73,778","13,588",418
IA,19,03750,Aplington-Parkersburg Community School District,"4,552",789,58
IA,19,03780,Ar-We-Va Community School District,"1,971",341,34
IA,19,03930,Atlantic Community School District,"8,300","1,431",259
IA,19,03960,Audubon Community School District,"3,261",501,62
