State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,01,00195,Pike Road City School District,"9,332","2,100",136
AL,01,02820,Randolph County School District,"17,044","2,567",651
AL,01,02850,Roanoke City School District,"5,435",914,284
AL,01,02880,Russell County School District,"26,857","4,495","1,118"
AL,01,02910,Russellville City School District,"10,794","2,089",544
AL,01,00185,Saraland City School District,"16,097","2,971",384
AL,01,00189,Satsuma City School District,"6,694","1,134",117
AL,01,02940,Scottsboro City School District,"15,668","2,302",473
AL,01,02970,Selma City School District,"17,179","3,132","1,496"
AL,01,03000,Sheffield City School District,"9,530","1,435",523
AL,01,03030,Shelby County School District,"140,955","24,287","1,682"
AL,01,03062,St. Clair County School District,"61,004","10,399","1,444"
AL,01,03090,Sumter County School District,"11,853","1,642",689
AL,01,03120,Sylacauga City School District,"12,357","1,931",516
AL,01,03150,Talladega City School District,"15,582","2,386",897
AL,01,03180,Talladega County School District,"48,442","7,077","1,655"
AL,01,03210,Tallapoosa County School District,"22,404","3,141",758
AL,01,03240,Tallassee City School District,"9,289","1,475",288
AL,01,03270,Tarrant City School District,"6,040","1,199",487
AL,01,03300,Thomasville City School District,"5,018",799,222
AL,01,03330,Troy City School District,"17,730","2,101",598
AL,01,00013,Trussville City School District,"25,701","5,370",204
AL,01,03360,Tuscaloosa City School District,"103,076","11,979","2,870"
AL,01,03390,Tuscaloosa County School District,"133,704","23,004","3,752"
AL,01,03420,Tuscumbia City School District,"9,182","1,341",387
AL,01,03430,Vestavia Hills City School District,"38,621","7,784",210
AL,01,03450,Walker County School District,"49,985","8,183","1,577"
AL,01,03480,Washington County School District,"15,122","2,360",603
AL,01,03510,Wilcox County School District,"10,059","1,592",711
AL,01,03540,Winfield City School District,"6,625","1,025",232
AL,01,03580,Winston County School District,"15,835","2,298",529
AK,02,00050,Alaska Gateway School District,"2,304",443,82
AK,02,00010,Aleutian Region School District,487,20,3
AK,02,00007,Aleutians East Borough School District,"3,398",136,18
AK,02,00180,Anchorage School District,"287,145","49,310","4,961"
AK,02,00525,Annette Island School District,"1,534",285,58
AK,02,00020,Bering Strait School District,"6,214","1,667",435
AK,02,00030,Bristol Bay Borough School District,865,136,18
AK,02,00730,Chatham School District,"1,292",135,45
AK,02,00800,Chugach School District,492,77,12
AK,02,00070,Copper River School District,"2,462",472,84
AK,02,00060,Cordova City School District,"2,525",408,29
AK,02,00090,Craig City School District,"1,018",169,19
AK,02,00100,Delta/Greely School District,"4,843",882,103
AK,02,00770,Denali Borough School District,"1,585",217,21
AK,02,00120,Dillingham City School District,"2,187",428,89
AK,02,00600,Fairbanks North Star Borough School District,"95,356","15,843","1,234"
AK,02,00130,Galena City School District,458,113,21
AK,02,00270,Haines Borough School District,"2,056",253,42
AK,02,00300,Hoonah City School District,900,124,28
AK,02,00330,Hydaburg City School District,373,65,21
AK,02,00520,Iditarod Area School District,"1,064",223,77
AK,02,00210,Juneau Borough School District,"31,685","4,950",374
AK,02,00360,Kake City School District,533,111,24
AK,02,00005,Kashunamiut School District,941,260,87
AK,02,00390,Kenai Peninsula Borough School District,"60,690","10,029","1,176"
AK,02,00150,Ketchikan Gateway Borough School District,"13,741","2,142",218
AK,02,00450,Klawock City School District,707,122,19
AK,02,00480,Kodiak Island Borough School District,"12,720","2,199",180
AK,02,00760,Kuspuk School District,"1,399",319,103
AK,02,00485,Lake and Peninsula Borough School District,"1,381",278,77
AK,02,00001,Lower Kuskokwim School District,"15,280","3,753",896
AK,02,00003,Lower Yukon School District,"6,745","1,967",646
AK,02,00510,Matanuska-Susitna Borough School District,"113,325","21,878","2,075"
AK,02,00540,Nenana City School District,347,72,16
AK,02,00570,Nome School District,"3,621",771,125
AK,02,00610,North Slope Borough School District,"10,805","2,090",268
AK,02,00625,Northwest Arctic Borough School District,"7,423","2,039",462
AK,02,00630,Pelican City School District,95,11,3
AK,02,00660,Petersburg Borough School District,"3,360",530,42
AK,02,00670,Pribilof School District,470,65,7
AK,02,00240,Sitka School District,"8,382","1,217",106
AK,02,00690,Skagway School District,"1,081",129,11
AK,02,00700,Southeast Island School District,"1,485",188,36
AK,02,00710,Southwest Region School District,"2,536",632,189
AK,02,00680,St. Marys City School District,592,159,41
AK,02,00715,Tanana City School District,238,39,15
AK,02,00720,Unalaska City School District,"4,165",266,16
AK,02,00780,Valdez City School District,"3,857",677,43
AK,02,00810,Wrangell School District,"2,070",286,48
AK,02,00840,Yakutat School District,700,104,14
AK,02,00775,Yukon Flats School District,"1,123",214,30
AK,02,00862,Yukon-Koyukuk School District,"1,975",384,99
AK,02,00004,Yupiit School District,"1,553",431,155
AZ,04,00450,Agua Fria Union High School District,"166,867","9,238",783
AZ,04,00480,Aguila Elementary District,824,150,15
AZ,04,00520,Ajo Unified District,"3,080",331,74
AZ,04,00600,Alhambra Elementary District,"98,883","14,253","3,906"
AZ,04,00630,Alpine Elementary District,678,71,20
AZ,04,04770,Altar Valley Elementary District,"6,743","1,032",213
AZ,04,00680,Amphitheater Unified District,"149,046","18,629","2,614"
AZ,04,00720,Antelope Union High School District,"4,538",204,35
AZ,04,00750,Apache Elementary District,132,10,7
AZ,04,00790,Apache Junction Unified District,"66,028","6,700",995
AZ,04,00840,Arlington Elementary District,"1,354",180,23
AZ,04,00870,Ash Creek Elementary District,589,37,15
AZ,04,00910,Ash Fork Joint Unified District,"2,046",244,88
AZ,04,00960,Avondale Elementary District,"57,356","8,363","1,237"
AZ,04,01000,Bagdad Unified School District,"2,284",498,44
AZ,04,01050,Balsz Elementary District,"33,902","3,718","1,010"
AZ,04,01080,Beaver Creek Elementary District,"5,437",764,179
AZ,04,00212,Benson Unified School District,"8,112","1,169",234
AZ,04,01160,Bicentennial Union High School District,"7,144",155,47
AZ,04,01180,Bisbee Unified District,"6,466",644,202
AZ,04,01230,Blue Elementary District,53,1,0
AZ,04,06580,Blue Ridge Unified District,"13,697","2,020",456
AZ,04,01260,Bonita Elementary District,891,47,8
AZ,04,01290,Bouse Elementary District,845,39,21
AZ,04,01330,Bowie Unified District,645,110,32
AZ,04,01380,Buckeye Elementary District,"54,826","7,860","1,011"
AZ,04,01410,Buckeye Union High School District,"101,171","5,786",511
AZ,04,01500,Bullhead City School District,"43,372","3,280",978
AZ,04,01600,Camp Verde Unified District,"13,222","1,975",492
AZ,04,01650,Canon Elementary District,"2,874",295,84
AZ,04,01680,Cartwright Elementary District,"123,357","20,071","4,959"
AZ,04,01710,Casa Grande Elementary District,"71,601","9,060","1,427"
AZ,04,01740,Casa Grande Union High School District,"100,779","5,194",763
AZ,04,01760,Catalina Foothills Unified District,"32,042","4,005",164
AZ,04,00001,Cave Creek Unified District,"65,615","7,120",277
AZ,04,01810,Cedar Unified District,"6,853","1,321",484
AZ,04,01870,Chandler Unified District,"285,135","51,729","3,303"
AZ,04,01920,Chevelon Butte School District,574,26,8
AZ,04,01940,Chinle Unified District,"18,876","4,255","1,486"
AZ,04,00003,Chino Valley Unified District,"25,652","3,605",698
AZ,04,00004,Clarkdale-Jerome Elementary District,"4,303",345,67
AZ,04,02130,Cochise Elementary District,196,26,12
AZ,04,00021,Colorado City Unified District,"4,240","1,413",441
AZ,04,00082,Colorado River Union High School District,"70,416","2,684",566
AZ,04,02190,Concho Elementary District,"2,679",308,110
AZ,04,02220,Congress Elementary District,"2,248",140,53
AZ,04,02250,Continental Elementary District,"31,921","1,107",93
AZ,04,02320,Coolidge Unified District,"21,103","4,219",714
AZ,04,02370,Cottonwood-Oak Creek Elementary District,"32,287","2,848",479
AZ,04,02400,Crane Elementary District,"45,644","6,565",950
AZ,04,02430,Creighton Elementary District,"66,970","7,464","1,637"
AZ,04,02460,Crown King Elementary District,92,2,0
AZ,04,07750,Deer Valley Unified District,"276,599","46,972","3,472"
AZ,04,02490,Double Adobe Elementary District,388,44,12
AZ,04,02530,Douglas Unified District,"20,324","4,173","1,405"
AZ,04,02600,Duncan Unified District,"2,512",444,64
AZ,04,02690,Dysart Unified District,"202,076","35,061","3,578"
AZ,04,02710,Eagle Elementary District,73,7,1
AZ,04,02760,Elfrida Elementary District,878,87,31
AZ,04,02790,Eloy Elementary District,"6,179",912,239
AZ,04,02820,Empire Elementary District,476,66,12
AZ,04,02860,Flagstaff Unified District,"99,873","13,540","1,653"
AZ,04,02920,Florence Unified School District,"115,071","19,491","1,804"
AZ,04,03010,Flowing Wells Unified District,"30,876","5,030","1,297"
AZ,04,03150,Fort Huachuca Accommodation District,"5,248",792,54
AZ,04,03200,Fort Thomas Unified District,"2,580",612,131
AZ,04,03040,Fountain Hills Unified District,"25,109","1,949",134
AZ,04,03060,Fowler Elementary District,"35,865","5,776","1,193"
AZ,04,03080,Fredonia-Moccasin Unified District,"2,716",443,145
AZ,04,03240,Gadsden Elementary District,"26,383","3,989",980
AZ,04,03290,Ganado Unified District,"6,183","1,278",417
AZ,04,03310,Gila Bend Unified District,"2,370",558,163
AZ,04,03400,Gilbert Unified District,"217,656","42,792","2,471"
AZ,04,03420,Glendale Elementary District,"112,383","15,861","3,791"
AZ,04,03450,Glendale Union High School District,"367,194","20,166","3,491"
AZ,04,03500,Globe Unified District,"10,081","1,611",279
AZ,04,03550,Grand Canyon Unified District,"2,406",202,68
AZ,04,03660,Hackberry School District,"1,249",74,19
AZ,04,03730,Hayden-Winkelman Unified District,"1,057",168,46
AZ,04,00026,Heber-Overgaard Unified District,"4,397",475,149
