year,system_name,subgroup,pct_met_exceeded,student_group
2022,Bedford County,,34.5,All Students
2022,Bedford County,,37.1,All Students
2022,Bedford County,,25.6,All Students
2022,Bedford County,,42.9,All Students
2022,Bedford County,,32.2,All Students
2022,Bedford County,,28.2,All Students
2022,Bedford County,,7.7,All Students
2022,Bedford County,,28.1,All Students
2022,Benton County,,50.0,All Students
2022,Benton County,,6.3,All Students
2022,Benton County,,83.3,All Students
2022,Benton County,,54.7,All Students
2022,Benton County,,33.7,All Students
2022,Benton County,,39.2,All Students
2022,Benton County,,32.7,All Students
2022,Benton County,,29.4,All Students
2022,Benton County,,29.5,All Students
2022,Benton County,,20.4,All Students
2022,Benton County,,50.0,All Students
2022,Benton County,,30.7,All Students
2022,Benton County,,38.2,All Students
2022,Benton County,,38.3,All Students
2022,Benton County,,53.5,All Students
2022,Benton County,,53.5,All Students
2022,Benton County,,,All Students
2022,Benton County,,92.6,All Students
2022,Benton County,,3.7,All Students
2022,Benton County,,16.9,All Students
2022,Benton County,,48.9,All Students
2022,Benton County,,,All Students
2022,Benton County,,95.2,All Students
2022,Benton County,,52.1,All Students
2022,Benton County,,69.6,All Students
2022,Benton County,,21.2,All Students
2022,Benton County,,31.5,All Students
2022,Benton County,,34.1,All Students
2022,Benton County,,42.4,All Students
2022,Benton County,,30.6,All Students
2022,Benton County,,32.7,All Students
2022,Benton County,,35.5,All Students
2022,Benton County,,26.9,All Students
2022,Benton County,,40.0,All Students
2022,Benton County,,33.8,All Students
2022,Benton County,,24.7,All Students
2022,Benton County,,47.9,All Students
2022,Benton County,,30.3,All Students
2022,Benton County,,30.3,All Students
2022,Benton County,,40.0,All Students
2022,Benton County,,38.3,All Students
2022,Benton County,,35.1,All Students
2022,Benton County,,35.9,All Students
2022,Benton County,,42.7,All Students
2022,Benton County,,40.7,All Students
2022,Benton County,,39.9,All Students
2022,Benton County,,50.0,All Students
2022,Benton County,,49.5,All Students
2022,Bledsoe County,,,All Students
2022,Bledsoe County,,11.4,All Students
2022,Bledsoe County,,8.9,All Students
2022,Bledsoe County,,18.8,All Students
2022,Bledsoe County,,17.6,All Students
2022,Bledsoe County,,73.3,All Students
2022,Bledsoe County,,41.6,All Students
2022,Bledsoe County,,45.3,All Students
2022,Bledsoe County,,24.1,All Students
2022,Bledsoe County,,38.9,All Students
2022,Bledsoe County,,36.2,All Students
2022,Bledsoe County,,27.8,All Students
2022,Bledsoe County,,25.2,All Students
2022,Bledsoe County,,14.4,All Students
2022,Bledsoe County,,83.3,All Students
2022,Bledsoe County,,27.9,All Students
2022,Bledsoe County,,32.8,All Students
2022,Bledsoe County,,32.8,All Students
2022,Bledsoe County,,27.2,All Students
2022,Bledsoe County,,27.1,All Students
2022,Bledsoe County,,31.1,All Students
2022,Bledsoe County,,,All Students
2022,Bledsoe County,,25.4,All Students
2022,Bledsoe County,,20.0,All Students
2022,Bledsoe County,,38.0,All Students
2022,Bledsoe County,,35.9,All Students
2022,Bledsoe County,,8.8,All Students
2022,Bledsoe County,,10.9,All Students
2022,Bledsoe County,,13.5,All Students
2022,Bledsoe County,,75.0,All Students
2022,Bledsoe County,,21.4,All Students
2022,Bledsoe County,,22.7,All Students
2022,Bledsoe County,,56.5,All Students
2022,Bledsoe County,,31.3,All Students
2022,Bledsoe County,,29.6,All Students
2022,Bledsoe County,,21.0,All Students
2022,Bledsoe County,,21.6,All Students
2022,Bledsoe County,,30.3,All Students
2022,Bledsoe County,,41.7,All Students
2022,Bledsoe County,,32.8,All Students
2022,Bledsoe County,,29.7,All Students
2022,Bledsoe County,,34.8,All Students
2022,Blount County,,,All Students
2022,Blount County,,69.6,All Students
2022,Blount County,,18.2,All Students
2022,Blount County,,23.7,All Students
2022,Blount County,,20.9,All Students
2022,Blount County,,19.7,All Students
2022,Blount County,,91.2,All Students
2022,Blount County,,26.4,All Students
2022,Blount County,,9.6,All Students
2022,Blount County,,66.7,All Students
2022,Blount County,,,All Students
2022,Blount County,,53.1,All Students
2022,Blount County,,46.9,All Students
2022,Blount County,,66.7,All Students
2022,Blount County,,73.3,All Students
2022,Blount County,,29.8,All Students
2022,Blount County,,65.0,All Students
2022,Blount County,,38.5,All Students
2022,Blount County,,45.5,All Students
2022,Blount County,,41.8,All Students
2022,Blount County,,60.0,All Students
2022,Blount County,,35.8,All Students
2022,Blount County,,58.3,All Students
2022,Blount County,,38.5,All Students
2022,Blount County,,53.3,All Students
2022,Blount County,,27.4,All Students
2022,Blount County,,60.2,All Students
2022,Blount County,,35.2,All Students
2022,Blount County,,42.8,All Students
2022,Blount County,,42.7,All Students
2022,Blount County,,50.7,All Students
2022,Blount County,,50.6,All Students
2022,Blount County,,67.9,All Students
2022,Blount County,,30.7,All Students
2022,Blount County,,2.8,All Students
2022,Blount County,,80.0,All Students
2022,Blount County,,34.3,All Students
2022,Blount County,,60.0,All Students
2022,Blount County,,34.2,All Students
2022,Blount County,,78.9,All Students
2022,Blount County,,40.7,All Students
2022,Blount County,,45.5,All Students
2022,Blount County,,41.4,All Students
2022,Blount County,,60.0,All Students
2022,Blount County,,31.6,All Students
2022,Blount County,,72.7,All Students
2022,Blount County,,29.3,All Students
2022,Blount County,,66.7,All Students
2022,Blount County,,29.4,All Students
2022,Blount County,,65.1,All Students
2022,Blount County,,34.5,All Students
2022,Blount County,,42.0,All Students
2022,Blount County,,78.9,All Students
2022,Blount County,,51.6,All Students
2022,Blount County,,36.4,All Students
2022,Blount County,,40.7,All Students
2022,Blount County,,42.7,All Students
2022,Blount County,,60.0,All Students
2022,Blount County,,37.9,All Students
2022,Blount County,,52.9,All Students
2022,Blount County,,34.3,All Students
2022,Blount County,,60.6,All Students
2022,Blount County,,41.5,All Students
2022,Blount County,,39.9,All Students
2022,Blount County,,40.0,All Students
2022,Blount County,,42.1,All Students
2022,Blount County,,58.8,All Students
2022,Blount County,,45.6,All Students
2022,Blount County,,52.8,All Students
2022,Blount County,,42.6,All Students
2022,Blount County,,47.4,All Students
2022,Blount County,,47.4,All Students
2022,Alcoa,,95.2,All Students
2022,Alcoa,,32.4,All Students
2022,Alcoa,,38.6,All Students
2022,Alcoa,,46.8,All Students
2022,Alcoa,,32.6,All Students
2022,Alcoa,,38.0,All Students
2022,Alcoa,,28.6,All Students
2022,Alcoa,,66.7,All Students
2022,Alcoa,,60.4,All Students
2022,Alcoa,,26.4,All Students
2022,Alcoa,,36.9,All Students
2022,Alcoa,,37.5,All Students
2022,Alcoa,,54.5,All Students
2022,Alcoa,,38.6,All Students
2022,Alcoa,,33.3,All Students
2022,Alcoa,,37.8,All Students
2022,Alcoa,,39.5,All Students
2022,Alcoa,,39.1,All Students
2022,Alcoa,,52.7,All Students
2022,Alcoa,,52.7,All Students
2022,Alcoa,,38.9,All Students
2022,Alcoa,,10.0,All Students
2022,Alcoa,,92.9,All Students
2022,Alcoa,,40.1,All Students
2022,Alcoa,,26.4,All Students
2022,Alcoa,,31.7,All Students
2022,Alcoa,,42.7,All Students
2022,Alcoa,,41.0,All Students
2022,Alcoa,,26.1,All Students
2022,Alcoa,,44.2,All Students
2022,Alcoa,,27.3,All Students
2022,Alcoa,,34.8,All Students
2022,Alcoa,,27.6,All Students
2022,Alcoa,,43.7,All Students
2022,Alcoa,,38.3,All Students
2022,Alcoa,,58.1,All Students
2022,Alcoa,,56.3,All Students
2022,Alcoa,,52.8,All Students
2022,Alcoa,,36.4,All Students
2022,Alcoa,,46.5,All Students
2022,Alcoa,,55.5,All Students
2022,Alcoa,,44.9,All Students
2022,Alcoa,,46.5,All Students
2022,Alcoa,,48.8,All Students
2022,Maryville,,3.6,All Students
2022,Maryville,,82.5,All Students
2022,Maryville,,8.9,All Students
2022,Maryville,,34.0,All Students
2022,Maryville,,98.1,All Students
2022,Maryville,,47.5,All Students
2022,Maryville,,61.0,All Students
2022,Maryville,,23.9,All Students
2022,Maryville,,16.7,All Students
2022,Maryville,,68.0,All Students
2022,Maryville,,60.8,All Students
2022,Maryville,,59.5,All Students
2022,Maryville,,58.3,All Students
2022,Maryville,,64.9,All Students
2022,Maryville,,69.1,All Students
2022,Maryville,,72.8,All Students
2022,Maryville,,61.2,All Students
2022,Maryville,,50.0,All Students
2022,Maryville,,38.2,All Students
2022,Maryville,,58.3,All Students
2022,Maryville,,60.7,All Students
2022,Maryville,,59.1,All Students
2022,Maryville,,58.9,All Students
2022,Maryville,,71.6,All Students
2022,Maryville,,28.6,All Students
2022,Maryville,,70.1,All Students
2022,Maryville,,42.8,All Students
2022,Maryville,,35.0,All Students
2022,Maryville,,,All Students
2022,Maryville,,94.0,All Students
2022,Maryville,,57.0,All Students
2022,Maryville,,73.0,All Students
2022,Maryville,,66.7,All Students
2022,Maryville,,70.2,All Students
2022,Maryville,,68.6,All Students
2022,Maryville,,65.3,All Students
2022,Maryville,,56.3,All Students
2022,Maryville,,57.1,All Students
2022,Maryville,,38.7,All Students
2022,Maryville,,60.4,All Students
2022,Maryville,,63.2,All Students
2022,Maryville,,70.6,All Students
